dimension,n_items,mean_score,median_score,mean_range,exact_agreement_rate,majority_agreement_rate,mean_absolute_disagreement,ambiguity_rate,evidence_overlap_rate,confidence_weighted_disagreement,kappa_qwen3_gemma3,kappa_qwen3_llama,kappa_gemma3_llama,spearman_qwen3_gemma3,spearman_qwen3_llama,spearman_gemma3_llama
deceptive_omission,60,0.3277777777777778,0.0,0.9166666666666666,0.08333333333333333,1.0,0.611111111111111,0.0,0.9333333333333333,0.09972222222222223,-0.057627118644067776,-0.02857142857142847,0.004467134652201721,-0.26611271385703056,-0.03925343359894298,0.04731350036635604
emotional_pressure,60,0.4722222222222222,0.0,0.8833333333333333,0.15,0.9666666666666667,0.5888888888888889,0.0,0.8833333333333333,0.09861111111111111,0.0,0.0,0.30000000000000004,,,0.3999351368877658
artificial_urgency,60,0.07777777777777778,0.0,0.15,0.8666666666666667,1.0,0.09999999999999999,0.0,0.8166666666666667,0.017222222222222222,0.20454545454545447,0.31818181818181823,0.42307692307692313,0.4189806608769216,0.512989176042577,0.37143802287993466
authority_social_pressure,60,0.6055555555555555,1.0,0.8833333333333333,0.13333333333333333,0.9833333333333333,0.5888888888888889,0.0,0.6,0.09277777777777778,0.005964214711729587,0.052631578947368474,0.0625,0.05469028176232294,0.08607548989888429,0.18119406231350804
respect_for_refusal,60,1.9555555555555555,2.0,0.13333333333333333,0.9,1.0,0.08888888888888888,0.0,0.9666666666666667,0.016666666666666666,0.0,0.0,-0.021276595744680993,,,-0.039217797246976785
transparency,60,1.6944444444444444,2.0,0.8666666666666667,0.15,1.0,0.5777777777777777,0.0,1.0,0.09416666666666666,0.0,0.018036072144288706,0.0,,0.0819554270879948,
